genre_ids,original_language,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross
"[35, 10749, 18]",en,7.261,2011-06-30,Larry Crowne,5.8,676,Uni.,35600000.0,36400000.0,2011,72000000.0
"[18, 10749]",en,7.234,2011-11-18,Tyrannosaur,7.4,213,Strand,22300.0,652000000.0,2011,652022300.0
"[878, 18, 9648, 53]",en,7.2120000000000015,2011-01-22,Sound of My Voice,6.4,169,FoxS,408000.0,652000000.0,2012,652408000.0
[18],ko,7.202000000000001,2011-02-11,Poetry,7.6,94,Kino,356000.0,1900000.0,2011,2256000.0
[99],en,7.162000000000001,2012-03-09,Jiro Dreams of Sushi,7.9,377,Magn.,2600000.0,652000000.0,2012,654600000.0
[99],en,7.162000000000001,2012-03-09,Jiro Dreams of Sushi,7.9,377,Magn.,2600000.0,652000000.0,2012,654600000.0
"[18, 10752]",fr,7.1320000000000014,2011-07-22,Sarah's Key,7.3,408,Wein.,7700000.0,13400000.0,2011,21100000.0
[99],de,7.086,2011-12-23,Pina,7.4,115,IFC,3500000.0,11100000.0,2011,14600000.0
"[27, 9648]",en,7.079,2011-01-21,Silent House,5.2,184,ORF,12800000.0,347000.0,2012,13147000.0
[35],en,7.077000000000001,2011-10-14,The Big Year,5.8,393,Fox,7200000.0,244000.0,2011,7444000.0
"[18, 10752]",en,7.058,2011-05-06,There Be Dragons,5.1,93,Gold.,1100000.0,652000000.0,2011,653100000.0
"[18, 53, 9648]",en,6.992999999999999,2011-04-23,The Good Doctor,5.5,90,Magn.,5200.0,652000000.0,2012,652005200.0
"[18, 27, 9648, 53]",es,6.912000000000001,2011-10-14,The Skin I Live In,7.5,1503,SPC,3200000.0,27700000.0,2011,30900000.0
"[35, 10749]",en,6.9110000000000005,2011-04-29,Prom,6.0,276,BV,10100000.0,652000000.0,2011,662100000.0
"[28, 53]",hi,6.867999999999999,2011-12-23,Don 2,7.1,97,Relbig.,3700000.0,652000000.0,2011,655700000.0
[18],fr,6.7010000000000005,2011-10-10,17 Girls,5.5,199,Strand,15100.0,186000.0,2012,201100.0
"[18, 10749]",fr,6.63,2011-02-25,Heartbeats,7.4,490,IFC,68700.0,520000.0,2011,588700.0
"[10402, 10749]",en,6.1270000000000024,2018-03-20,Heartbeats,6.9,69,IFC,68700.0,520000.0,2011,588700.0
"[35, 18, 14]",th,6.562,2011-03-02,Uncle Boonmee Who Can Recall His Past Lives,6.7,117,Strand,184000.0,946000.0,2011,1130000.0
"[80, 18, 36]",en,6.492999999999999,2011-04-15,The Conspirator,6.5,226,RAtt.,11500000.0,3900000.0,2011,15400000.0
[35],fr,6.39,2011-11-11,My Worst Nightmare,5.3,120,Strand,22000.0,7100000.0,2012,7122000.0
"[35, 10749]",en,6.329,2011-06-03,"Love, Wedding, Marriage",5.3,117,IFC,1900.0,652000000.0,2011,652001900.0
"[99, 80]",en,6.289,2011-11-11,Into the Abyss,7.2,132,IFC,224000.0,652000000.0,2011,652224000.0
[18],en,6.277,2011-12-21,Albert Nobbs,6.3,227,RAtt.,3000000.0,2600000.0,2012,5600000.0
"[18, 10749]",en,6.209,2011-04-22,Water for Elephants,6.9,1627,Fox,58700000.0,58400000.0,2011,117100000.0
"[35, 10749]",en,6.197,2011-03-02,Take Me Home,6.6,72,Mont.,15800.0,652000000.0,2012,652015800.0
"[35, 10749, 18]",en,6.191,2011-09-10,The Oranges,5.5,335,ATO,366000.0,652000000.0,2012,652366000.0
[18],en,6.11,2011-01-23,Little Birds,6.0,54,MNE,17700.0,652000000.0,2012,652017700.0
"[35, 10749]",en,6.037000000000001,2011-02-02,Chalet Girl,6.3,371,IFC,1700.0,1700000.0,2011,1701700.0
"[28, 53, 80]",fr,6.021,2011-07-29,Point Blank,6.6,230,Magn.,708000.0,8500000.0,2011,9208000.0
"[18, 35]",fr,5.973,2011-10-21,Le Havre,6.9,169,Jan.,612000.0,9900000.0,2011,10512000.0
"[35, 18]",fr,5.9510000000000005,2011-08-19,The Hedgehog,7.1,155,NeoC,708000.0,12000000.0,2011,12708000.0
[18],en,5.885,2011-06-24,A Better Life,7.1,97,Sum.,1800000.0,652000000.0,2011,653800000.0
[99],en,0.6,2015-05-01,A Better Life,10.0,1,Sum.,1800000.0,652000000.0,2011,653800000.0
[18],en,5.872000000000001,2011-06-03,Beautiful Boy,6.0,47,Anch.,77200.0,652000000.0,2011,652077200.0
[18],en,17.409000000000002,2018-10-12,Beautiful Boy,7.6,500,Anch.,77200.0,652000000.0,2011,652077200.0
"[18, 35]",fr,5.849,2011-12-09,My Piece of the Pie,5.6,81,IFC,6900.0,652000000.0,2011,652006900.0
"[99, 18]",en,5.818,2011-01-27,Life in a Day,7.3,116,NGE,253000.0,652000000.0,2011,652253000.0
"[18, 10752]",de,5.785,2011-09-02,In Darkness,7.2,81,SPC,1000000.0,4500000.0,2012,5500000.0
[53],en,9.671,2018-05-25,In Darkness,6.0,215,SPC,1000000.0,4500000.0,2012,5500000.0
"[99, 10751]",en,5.7620000000000005,2011-10-21,Being Elmo: A Puppeteer's Journey,7.4,86,SD,304000.0,652000000.0,2011,652304000.0
"[12, 35, 18]",en,5.754,2011-10-07,The Way,7.2,273,PDA,4400000.0,652000000.0,2011,656400000.0
[18],el,5.733,2012-03-09,Attenberg,5.9,52,Strand,24000.0,45900.0,2012,69900.0
[18],el,5.733,2012-03-09,Attenberg,5.9,52,Strand,24000.0,45900.0,2012,69900.0
"[35, 18]",en,5.473,2011-11-18,Another Happy Day,6.1,60,P4,8500.0,347000.0,2011,355500.0
"[28, 18, 10749]",en,5.3770000000000024,2011-08-05,Bellflower,6.2,84,Osci.,168000.0,652000000.0,2011,652168000.0
"[28, 878, 12]",en,5.3389999999999995,2011-06-28,Transformers: Dark of the Moon,6.1,4961,P/DW,352400000.0,771400000.0,2011,1123800000.0
[18],en,5.2360000000000015,2011-07-15,The Tree,6.6,60,Zeit.,71200.0,2100000.0,2011,2171200.0
"[18, 10751]",en,0.6409999999999999,2017-04-01,The Tree,7.0,1,Zeit.,71200.0,2100000.0,2011,2171200.0
"[27, 53]",en,5.1960000000000015,2011-11-11,11-11-11,4.3,116,Rocket,32800.0,5700000.0,2011,5732800.0
"[16, 18]",en,5.1579999999999995,2011-05-04,Death of a Superhero,7.1,64,Trib.,600.0,652000000.0,2012,652000600.0
[18],en,5.121,2011-10-11,Fireflies in the Garden,6.3,96,,70600.0,3300000.0,2011,3370600.0
"[80, 18]",nl,5.117,2012-02-17,Bullhead,7.3,165,Drft.,152000.0,652000000.0,2012,652152000.0
"[80, 18]",nl,5.117,2012-02-17,Bullhead,7.3,165,Drft.,152000.0,652000000.0,2012,652152000.0
"[18, 10749, 10752]",en,5.099,2011-12-23,In the Land of Blood and Honey,6.1,83,FD,304000.0,652000000.0,2011,652304000.0
"[18, 35, 10749]",hi,5.043,2011-09-09,Mere Brother Ki Dulhan,6.3,33,Yash,496000.0,652000000.0,2011,652496000.0
"[18, 10749]",fr,4.816,2011-09-03,Goodbye First Love,6.2,59,IFC,95000.0,652000000.0,2012,652095000.0
"[18, 10749]",fr,4.816,2011-09-03,Goodbye First Love,6.2,59,IFC,95000.0,652000000.0,2012,652095000.0
"[18, 80]",en,4.758,2011-09-27,Inside Out,4.4,18,BV,356500000.0,501100000.0,2015,857600000.0
"[18, 35, 16, 10751]",en,24.796999999999997,2015-06-19,Inside Out,8.0,12691,BV,356500000.0,501100000.0,2015,857600000.0
"[18, 53, 80]",en,4.749,2011-08-26,Brighton Rock,6.0,57,IFC,230000.0,1600000.0,2011,1830000.0
"[9648, 53]",en,4.685,2011-04-01,Wrecked,5.4,156,IFC,8000.0,652000000.0,2011,652008000.0
"[9648, 878]",en,0.6,2013-04-19,Wrecked,6.0,1,IFC,8000.0,652000000.0,2011,652008000.0
"[99, 10752]",da,4.631,2011-04-15,Armadillo,7.2,61,Lorb.,14600.0,2000000.0,2011,2014600.0
"[18, 53]",en,4.545,2011-08-26,Higher Ground,5.9,21,SPC,842000.0,652000000.0,2011,652842000.0
"[18, 36]",en,4.519,2011-07-15,Snow Flower and the Secret Fan,5.9,39,FoxS,1300000.0,10000000.0,2011,11300000.0
"[10749, 18, 35]",de,4.407,2011-09-16,Three,6.5,44,WGUSA,120000.0,652000000.0,2016,652120000.0
[99],en,4.4060000000000015,2011-07-08,Project Nim,6.8,79,RAtt.,411000.0,652000000.0,2011,652411000.0
"[35, 80, 18]",hi,4.3919999999999995,2011-07-01,Double Dhamaal,4.6,19,Relbig.,544000.0,652000000.0,2011,652544000.0
"[9648, 18]",pt,4.249,2011-08-05,Mysteries of Lisbon,7.0,38,MBox,111000.0,14900.0,2011,125900.0
"[80, 18, 9648, 10749, 53]",it,3.989,2011-04-15,The Double Hour,6.2,45,Gold.,1500000.0,1200000.0,2011,2700000.0
"[18, 9648]",en,3.944,2011-12-07,London River,6.5,31,Libre,7200.0,1100000.0,2011,1107200.0
"[35, 18]",en,3.8360000000000003,2011-07-29,The Future,5.8,38,RAtt.,569000.0,652000000.0,2011,652569000.0
[18],it,2.336,2013-09-06,The Future,5.8,11,RAtt.,569000.0,652000000.0,2011,652569000.0
"[18, 53, 80]",de,3.714,2011-04-29,The Robber,6.6,43,Kino,83500.0,125000.0,2011,208500.0
[99],en,3.636,2011-07-29,The Interrupters,7.0,21,CGld,282000.0,652000000.0,2011,652282000.0
"[35, 10749]",zh,3.562,2011-09-09,Love in Space,5.8,5,CL,34800.0,652000000.0,2011,652034800.0
"[18, 53]",fr,3.535,2011-07-06,Rapt,6.3,28,Lorb.,45800.0,2900000.0,2011,2945800.0
[99],en,3.4930000000000003,2011-12-09,Knuckle,5.4,16,Vita.,2600.0,652000000.0,2011,652002600.0
"[18, 28, 36, 10752]",zh,3.472,2011-01-01,Beginning of the Great Revival,4.3,13,CL,151000.0,58200000.0,2011,58351000.0
[99],es,3.4010000000000002,2011-03-17,Nostalgia for the Light,7.8,58,Icar.,164000.0,13700.0,2011,177700.0
"[18, 36]",pl,3.0780000000000003,2011-03-18,The Mill and the Cross,6.4,44,KC,312000.0,30300.0,2011,342300.0
[18],nl,3.032,2011-06-10,Bride Flight,7.1,16,MBox,501000.0,3700000.0,2011,4201000.0
"[27, 53]",es,2.889,2011-02-18,We Are What We Are,5.8,38,EOne,81400.0,652000000.0,2013,652081400.0
"[18, 27, 53]",en,6.211,2013-09-27,We Are What We Are,5.7,304,EOne,81400.0,652000000.0,2013,652081400.0
[18],fa,2.86,2011-08-26,Circumstance,6.9,45,RAtt.,454000.0,652000000.0,2011,652454000.0
"[18, 10749]",ro,2.775,2011-05-25,"Tuesday, After Christmas",6.8,20,Lorb.,27800.0,36200.0,2011,64000.0
[18],en,2.7260000000000004,2011-10-21,Oranges and Sunshine,7.2,43,Cohen,143000.0,2400000.0,2011,2543000.0
"[18, 35]",he,2.721,2011-05-25,Footnote,7.3,30,SPC,2000000.0,652000000.0,2012,654000000.0
"[18, 36, 10751, 10749]",zh,2.72,2011-06-03,Empire of Silver,5.8,5,NeoC,415000000.0,19000.0,2011,415019000.0
"[35, 18]",fr,2.62,2011-03-04,The Human Resources Manager,6.9,10,FM,64000.0,329000.0,2011,393000.0
[99],en,2.403,2011-10-04,Hell and Back Again,6.5,24,DF,40600.0,652000000.0,2011,652040600.0
[18],en,2.329,2011-09-07,The Eye of the Storm,5.4,11,SEG,83600.0,652000000.0,2012,652083600.0
"[18, 10770]",en,2.325,2011-09-26,The Bling Ring,4.2,28,A24,5800000.0,13300000.0,2013,19100000.0
"[18, 80]",en,8.935,2013-06-21,The Bling Ring,5.4,2069,A24,5800000.0,13300000.0,2013,19100000.0
[18],fr,2.309,2011-08-19,Mozart's Sister,6.5,16,MBox,708000.0,132000.0,2011,840000.0
"[10749, 18]",de,2.218,2011-11-04,Young Goethe in Love,6.0,32,MBox,162000.0,5600000.0,2011,5762000.0
[18],ro,2.211,2011-06-29,Aurora,5.8,11,CGld,5700.0,5100.0,2011,10800.0
"[10751, 18]",es,0.6,2015-04-11,Aurora,6.0,2,CGld,5700.0,5100.0,2011,10800.0
"[9648, 53]",en,2.201,2011-06-10,Road to Nowhere,5.4,23,Mont.,40300.0,121000.0,2011,161300.0
[99],en,2.1719999999999997,2011-06-17,Buck,7.3,22,IFC,4000000.0,652000000.0,2011,656000000.0
"[28, 53, 80]",en,2.097,2011-04-28,Fast Five,7.2,4294,Uni.,209800000.0,416300000.0,2011,626100000.0
[99],fr,2.0780000000000003,2011-05-13,L'Amour Fou,7.3,13,IFC,312000.0,652000000.0,2011,652312000.0
"[28, 16]",en,2.0580000000000003,2011-01-18,Black Panther,5.1,11,BV,700100000.0,646900000.0,2018,1347000000.0
"[28, 12, 14, 878]",en,44.14,2018-02-16,Black Panther,7.4,12365,BV,700100000.0,646900000.0,2018,1347000000.0
"[18, 99]",ru,1.858,2011-11-30,Khodorkovsky,4.4,7,KL,39500.0,652000000.0,2011,652039500.0
"[35, 80, 18, 10749]",hi,1.775,2011-06-17,Always Kabhi Kabhi,3.7,9,Eros,21400.0,652000000.0,2011,652021400.0
"[99, 18]",en,1.705,2011-04-27,The Arbor,6.7,13,Strand,21600.0,105000.0,2011,126600.0
"[35, 878]",en,1.604,2011-02-10,Time Freak,6.9,9,Grindstone,10000.0,256000.0,2018,266000.0
"[878, 35, 10749]",en,9.751,2018-11-09,Time Freak,6.3,97,Grindstone,10000.0,256000.0,2018,266000.0
"[18, 28, 80]",hi,1.4909999999999999,2011-04-22,Dum Maaro Dum,5.4,16,FoxS,564000.0,652000000.0,2011,652564000.0
"[28, 18, 53]",fr,1.4880000000000002,2011-06-10,Viva Riva!,5.7,7,MBox,61800.0,652000000.0,2011,652061800.0
"[28, 878, 12]",en,1.4469999999999998,2011-06-03,X-Men: First Class,7.2,8211,Fox,146400000.0,207200000.0,2011,353600000.0
"[18, 28, 53, 80, 10749]",hi,1.433,2011-09-30,Force,6.2,17,FoxS,415000000.0,4800000.0,2011,419800000.0
"[28, 80, 18, 9648, 53]",en,1.4,2011-08-09,Spy,7.0,1,Fox,110800000.0,124800000.0,2015,235600000.0
"[28, 35, 80]",en,12.54,2015-06-05,Spy,6.8,3917,Fox,110800000.0,124800000.0,2015,235600000.0
"[28, 35, 53]",ko,1.4,2011-04-11,The Last Godfather,4.9,9,RAtt.,164000.0,16600000.0,2011,16764000.0
[18],en,1.382,2011-09-02,Bonsai,7.0,6,Strand,21300.0,652000000.0,2012,652021300.0
"[14, 35]",es,1.354,2011-12-02,Pastorela,6.0,11,LGF,161000.0,2700000.0,2011,2861000.0
[99],en,1.2309999999999999,2011-09-09,The Whale,5.5,11,Pala.,81900.0,652000000.0,2011,652081900.0
[18],fr,1.176,2011-09-09,Unforgivable,6.5,2,Strand,154000.0,1200000.0,2012,1354000.0
"[27, 53]",en,1.125,2011-04-14,The Forest,2.5,1,Focus,26600000.0,11000000.0,2016,37600000.0
"[27, 53, 9648]",en,10.068999999999999,2016-01-08,The Forest,5.0,957,Focus,26600000.0,11000000.0,2016,37600000.0
"[18, 27, 14]",th,1.255,2016-03-09,The Forest,5.9,15,Focus,26600000.0,11000000.0,2016,37600000.0
[18],es,1.105,2011-12-20,Clandestine Childhood,7.0,21,IFC,9000.0,652000000.0,2013,652009000.0
[18],he,1.089,2011-10-15,Policeman,5.9,12,Crnth,11300.0,27000.0,2014,38300.0
"[9648, 53, 18]",en,1.057,2011-06-27,Gone,5.1,7,LG/S,11700000.0,6400000.0,2012,18100000.0
"[18, 53, 9648]",en,8.937999999999997,2012-02-24,Gone,6.0,640,LG/S,11700000.0,6400000.0,2012,18100000.0
[99],en,1.025,2011-09-15,El Bulli: Cooking in Progress,5.0,3,AM,237000.0,652000000.0,2011,652237000.0
"[18, 10402]",pt,1.024,2009-11-06,To Die Like a Man,6.3,6,Strand,4000.0,900.0,2011,4900.0
[99],en,1.023,2011-10-21,Revenge of the Electric Car,6.7,12,A23,151000.0,652000000.0,2011,652151000.0
[99],en,1.013,2011-08-05,Magic Trip,6.9,12,Magn.,155000.0,652000000.0,2011,652155000.0
[18],en,0.9520000000000001,2011-07-15,"Life, Above All",6.9,11,SPC,134000.0,652000000.0,2011,652134000.0
[18],en,0.905,2011-05-03,Bang Bang,4.3,2,FIP,2500000.0,39500000.0,2014,42000000.0
"[14, 18]",fr,0.8490000000000001,2011-07-08,The Sleeping Beauty,4.0,6,Strand,29100.0,652000000.0,2011,652029100.0
[14],cn,0.8390000000000001,2011-12-09,Magic to Win,5.2,6,CL,10700.0,652000000.0,2011,652010700.0
[35],en,0.725,2011-01-01,Snatched,3.5,2,Fox,45900000.0,15000000.0,2017,60900000.0
"[28, 35]",en,10.92,2017-05-12,Snatched,5.3,495,Fox,45900000.0,15000000.0,2017,60900000.0
"[35, 99, 10402]",en,0.6920000000000001,2011-05-13,The Topp Twins: Untouchable Girls,7.0,2,Argo.,29300.0,1800000.0,2011,1829300.0
[18],en,0.625,2011-03-25,The Measure of a Man,7.0,1,KL,112000.0,652000000.0,2016,652112000.0
"[35, 18]",en,0.6,2011-12-07,Nerve,10.0,1,LGF,38600000.0,46700000.0,2016,85300000.0
"[35, 18]",en,0.6,2011-12-07,Nerve,10.0,1,LGF,38600000.0,46700000.0,2016,85300000.0
"[9648, 12, 80]",en,14.508,2016-07-27,Nerve,7.1,4590,LGF,38600000.0,46700000.0,2016,85300000.0
[18],hu,0.6,2011-04-10,Vacation,7.0,1,WB (NL),58900000.0,46000000.0,2015,104900000.0
[35],en,14.227,2015-07-29,Vacation,6.2,1934,WB (NL),58900000.0,46000000.0,2015,104900000.0
[],en,0.6,2011-04-11,Pioneer,6.3,3,Magn.,6900.0,652000000.0,2014,652006900.0
[53],no,3.948,2013-10-12,Pioneer,5.6,45,Magn.,6900.0,652000000.0,2014,652006900.0
[18],fr,0.6,2011-01-21,The Salesman,6.2,3,Cohen,2400000.0,652000000.0,2017,654400000.0
"[18, 53]",fa,9.618,2016-10-16,The Salesman,7.3,394,Cohen,2400000.0,652000000.0,2017,654400000.0
"[18, 53]",fa,9.618,2016-10-16,The Salesman,7.3,394,Cohen,2400000.0,652000000.0,2017,654400000.0
"[18, 10751]",xx,0.6,2011-01-01,The D Train,6.0,2,IFC,673000.0,102000.0,2015,775000.0
"[18, 35]",en,6.465,2015-05-08,The D Train,4.6,125,IFC,673000.0,102000.0,2015,775000.0
"[99, 35, 18]",en,0.6,2011-11-12,The Mayor,6.0,1,WGUSA,96800.0,652000000.0,2017,652096800.0
"[18, 53]",ta,0.6,2011-09-16,Muran,6.0,1,UTV,30100.0,652000000.0,2011,652030100.0
[99],en,0.6,2011-09-08,The Tall Man,5.8,5,Imag.,415000000.0,5200000.0,2012,420200000.0
"[27, 9648, 53]",en,8.149,2012-08-01,The Tall Man,5.9,569,Imag.,415000000.0,5200000.0,2012,420200000.0
[18],en,0.6,2008-11-14,The Boy Next Door,5.7,6,Uni.,35400000.0,17000000.0,2015,52400000.0
[53],en,7.062,2015-01-23,The Boy Next Door,4.4,1382,Uni.,35400000.0,17000000.0,2015,52400000.0
[16],es,0.6,2011-10-14,The Greatest Miracle,5.6,7,KKM,555000.0,2500000.0,2011,3055000.0
"[18, 28, 10749, 10752]",en,0.6,2011-04-22,The Warring States,5.0,3,CL,69000.0,11800000.0,2011,11869000.0
[],en,0.6,2011-06-07,Paranoia,4.5,2,Rela.,7400000.0,6400000.0,2013,13800000.0
"[18, 53]",en,7.673999999999999,2013-08-16,Paranoia,5.7,518,Rela.,7400000.0,6400000.0,2013,13800000.0
"[53, 27]",en,0.6,2016-05-24,Paranoia,10.0,1,Rela.,7400000.0,6400000.0,2013,13800000.0
[],en,0.6,2011-06-07,Paranoia,4.5,2,Rela.,7400000.0,6400000.0,2013,13800000.0
"[9648, 27]",en,0.6,2011-05-03,Sinister,3.8,8,LG/S,48100000.0,29600000.0,2012,77700000.0
"[27, 53, 9648]",en,13.117,2012-10-12,Sinister,6.8,2935,LG/S,48100000.0,29600000.0,2012,77700000.0
[],en,0.6,2011-01-01,Snitch,1.0,1,LG/S,42900000.0,652000000.0,2013,694900000.0
"[53, 18]",en,16.673,2013-02-22,Snitch,5.9,1493,LG/S,42900000.0,652000000.0,2013,694900000.0
"[12, 14, 28]",en,26.939,2012-12-14,The Hobbit: An Unexpected Journey,7.2,12076,WB (NL),303000000.0,718100000.0,2012,1021100000.0
"[28, 80, 18, 53]",en,26.22,2012-07-20,The Dark Knight Rises,7.7,13933,WB,448100000.0,636800000.0,2012,1084900000.0
"[878, 12, 9648]",en,24.98,2012-06-08,Prometheus,6.4,7384,Fox,126500000.0,276900000.0,2012,403400000.0
"[28, 12, 14]",en,24.391,2012-07-04,The Amazing Spider-Man,6.5,10411,Sony,262000000.0,495900000.0,2012,757900000.0
"[10751, 16, 35, 12]",en,22.967,2012-11-02,Wreck-It Ralph,7.3,7780,BV,189400000.0,281800000.0,2012,471200000.0
"[53, 28, 12, 878]",en,21.741999999999997,2012-05-18,Battleship,5.6,3240,Uni.,65400000.0,237600000.0,2012,303000000.0
"[18, 37]",en,21.26,2012-12-25,Django Unchained,8.0,15725,Wein.,162800000.0,262600000.0,2012,425400000.0
"[12, 14, 18]",en,21.233,2012-06-01,Snow White and the Huntsman,5.9,5258,Uni.,155300000.0,241300000.0,2012,396600000.0
"[28, 12, 53]",en,19.27,2012-11-09,Skyfall,7.1,10441,Sony,304400000.0,804200000.0,2012,1108600000.0
"[16, 10751, 35]",en,18.705,2012-06-08,Madagascar 3: Europe's Most Wanted,6.5,3380,P/DW,216400000.0,530500000.0,2012,746900000.0
"[28, 12, 878]",en,18.549,2012-03-09,John Carter,6.1,3338,BV,73100000.0,211100000.0,2012,284200000.0
"[80, 18, 53, 28]",en,18.312,2012-12-21,Jack Reacher,6.4,4155,Par.,80100000.0,138300000.0,2012,218400000.0
"[28, 53]",en,18.05,2012-08-10,The Bourne Legacy,6.1,3630,Uni.,113200000.0,162900000.0,2012,276100000.0
"[16, 35, 12, 10751]",en,17.537,2012-07-13,Ice Age: Continental Drift,6.3,4598,Fox,161300000.0,715900000.0,2012,877200000.0
"[28, 12, 53]",en,17.215999999999998,2012-08-17,The Expendables 2,6.2,4219,LGF,85000000.0,229900000.0,2012,314900000.0
[35],en,17.199,2012-04-06,American Reunion,6.2,2679,Uni.,57000000.0,178000000.0,2012,235000000.0
"[28, 53, 878]",en,16.779,2012-09-28,Looper,6.8,6723,TriS,66500000.0,110000000.0,2012,176500000.0
"[28, 80, 53]",en,16.078,2012-10-04,Taken 2,6.2,4035,Fox,139900000.0,236300000.0,2012,376200000.0
"[18, 53]",en,15.793,2012-10-12,Argo,7.2,5127,WB,136000000.0,96300000.0,2012,232300000.0
"[35, 14]",en,15.75,2012-05-11,Dark Shadows,5.9,4197,WB,79700000.0,165800000.0,2012,245500000.0
[28],en,15.457,2012-11-02,The Man with the Iron Fists,5.3,573,Uni.,15600000.0,4099999.0,2012,19699999.0
"[18, 35, 10749]",en,15.350999999999999,2012-12-25,Silver Linings Playbook,7.1,7636,Wein.,132100000.0,104300000.0,2012,236400000.0
"[16, 35, 10751, 14]",en,15.318,2012-09-28,Hotel Transylvania,6.9,5013,Sony,148300000.0,210100000.0,2012,358400000.0
"[14, 16, 10751]",ja,15.245999999999999,2012-02-17,The Secret World of Arrietty,7.6,1234,BV,19200000.0,126400000.0,2012,145600000.0
[18],en,15.148,2012-09-21,The Perks of Being a Wallflower,7.8,5938,LG/S,17700000.0,15600000.0,2012,33300000.0
"[12, 18, 28]",en,15.0,2012-11-21,Life of Pi,7.3,8723,Fox,125000000.0,484000000.0,2012,609000000.0
"[14, 12, 28]",en,14.991,2012-03-29,Wrath of the Titans,5.6,2442,WB,83700000.0,221600000.0,2012,305300000.0
"[16, 10751, 14]",en,14.934000000000001,2012-11-21,Rise of the Guardians,7.3,3697,P/DW,103400000.0,203500000.0,2012,306900000.0
"[28, 35, 80]",en,14.835999999999999,2012-03-12,21 Jump Street,6.8,6527,Sony,138400000.0,63100000.0,2012,201500000.0
"[18, 878]",en,14.681,2012-10-26,Cloud Atlas,6.8,4505,WB,27100000.0,103400000.0,2012,130500000.0
"[53, 18]",en,14.66,2012-12-04,The Impossible,7.2,3614,LG/S,19000000.0,161300000.0,2012,180300000.0
"[27, 53]",en,14.658,2012-05-25,Chernobyl Diaries,5.0,842,WB,18100000.0,19000000.0,2012,37100000.0
"[16, 35, 10751]",en,14.627,2012-10-05,Frankenweenie,6.8,1685,BV,35300000.0,46200000.0,2012,81500000.0
"[35, 14]",en,14.475,2012-06-29,Ted,6.3,7727,Uni.,218800000.0,330600000.0,2012,549400000.0
"[12, 28, 878]",en,14.454,2012-02-10,Journey 2: The Mysterious Island,5.9,2152,WB (NL),103900000.0,231400000.0,2012,335300000.0
"[28, 18, 53]",en,14.262,2012-03-16,Seeking Justice,5.9,524,Anch.,412000.0,11900000.0,2012,12312000.0
"[53, 18, 36]",en,14.239,2012-12-19,Zero Dark Thirty,6.9,2553,Sony,95700000.0,37100000.0,2012,132800000.0
"[878, 12, 14]",en,14.212,2012-03-23,The Hunger Games,7.1,14587,LGF,408000000.0,286400000.0,2012,694400000.0
"[35, 18, 10749]",en,14.085999999999999,2012-05-25,Moonrise Kingdom,7.7,3023,Focus,45500000.0,22800000.0,2012,68300000.0
"[35, 10402, 10749]",en,13.886,2012-09-28,Pitch Perfect,7.3,4233,Uni.,65000000.0,50300000.0,2012,115300000.0
"[80, 18, 53]",en,13.742,2012-07-27,Killer Joe,6.5,703,LD,2000000.0,1700000.0,2012,3700000.0
"[18, 35]",en,13.7,2012-06-29,Magic Mike,6.1,1850,WB,113700000.0,53500000.0,2012,167200000.0
"[53, 27, 9648]",en,13.681,2012-10-26,Silent Hill: Revelation 3D,5.2,786,ORF,17500000.0,34800000.0,2012,52300000.0
"[10751, 16, 12, 35]",en,13.32,2012-08-17,ParaNorman,6.8,1358,Focus,56000000.0,51100000.0,2012,107100000.0
"[28, 878]",en,13.222999999999999,2012-09-21,Dredd,6.7,2788,LGF,13400000.0,22200000.0,2012,35600000.0
"[12, 35, 18, 10751, 14]",en,13.220999999999998,2012-03-30,Mirror Mirror,5.8,2099,Rela.,64900000.0,118100000.0,2012,183000000.0
"[80, 18, 53]",en,13.152000000000001,2012-09-21,End of Watch,7.3,1770,ORF,41000000.0,7100000.0,2012,48100000.0
"[18, 10749]",en,13.14,2012-04-20,The Lucky One,6.9,2012,WB,60500000.0,38900000.0,2012,99400000.0
"[28, 53]",en,13.116,2012-02-10,Safe House,6.4,1997,Uni.,126400000.0,81700000.0,2012,208100000.0
"[18, 10749]",en,13.046,2012-02-10,The Vow,7.1,2409,SGem,125000000.0,71100000.0,2012,196100000.0
[18],en,12.829,2012-09-14,The Master,7.1,1323,Wein.,16399999.0,11900000.0,2012,28299999.0
"[36, 28]",zh,0.6,2015-02-24,The Master,4.0,1,Wein.,16399999.0,11900000.0,2012,28299999.0
[35],en,12.817,2012-06-15,That's My Boy,5.5,831,Sony,36900000.0,20800000.0,2012,57700000.0
"[18, 27, 53]",en,12.780999999999999,2012-02-03,The Woman in Black,6.1,2122,CBS,54300000.0,73400000.0,2012,127700000.0
"[36, 18]",en,12.693,2012-11-16,Lincoln,6.8,2261,BV,182200000.0,93100000.0,2012,275300000.0
[35],en,12.592,2012-05-16,The Dictator,6.0,3042,Par.,59700000.0,119700000.0,2012,179400000.0
"[28, 14, 27]",en,12.498,2012-06-22,Abraham Lincoln: Vampire Hunter,5.6,2009,Fox,37500000.0,79000000.0,2012,116500000.0
"[80, 28, 53]",en,12.484000000000002,2012-08-24,Premium Rush,6.2,1244,Sony,20300000.0,10800000.0,2012,31100000.0
